municipality,18-24M,18-25K,25-44M,25-45K,45-64M,45-65K,65+M,65+K
Hedensted,0.126991679,0.09474577912,0.0637894425,-0.04844514852,-0.0817276937,-0.0151755305,-0.06627748217,-0.07390104573
Horsens,0.1615328479,0.03520369085,0.05422023618,-0.07470801618,-0.05502713926,-0.02274620678,-0.06165606914,-0.03681934355
Norddjurs,0.2007218964,0.0648999553,0.03254271665,-0.009532768893,-0.08892002429,-0.05386601549,-0.0808937638,-0.06495199589
Odder,0.1770650133,0.1578550741,0.01006569808,-0.0407227508,-0.1145815045,-0.07039058481,-0.0836272242,-0.03566372108
Randers,0.1155083742,0.03637011637,0.07754817087,0.02484102737,-0.08237099264,-0.04435105658,-0.03519571816,-0.0923499214
Samsø,0.432768648,-0.01228242031,-0.0003048341908,-0.09159068646,-0.1947856228,0.07432474089,-0.08933354341,-0.1187962817
Silkeborg,0.1331874985,0.03862143517,0.01486945086,0.03343981547,-0.07596565221,-0.0348227213,-0.04415813717,-0.06517168932
Skanderborg,0.1198987122,0.06638190802,0.009412855179,0.0107221621,-0.03349989914,-0.06696931337,-0.04078398067,-0.0651624443
Syddjurs,0.1097016306,0.05984707478,0.04880301586,0.01770408931,-0.02055299357,-0.08318148829,-0.05490042108,-0.07742090763
Aarhus,0.08290043004,0.001890342171,0.002415587211,-0.03961923713,0.01387449474,-0.03392976283,-0.008389039427,-0.01914281478
Herning,0.09925812003,0.04453744199,0.08219516779,-0.009213489876,-0.06195930696,-0.03219989767,-0.06752846151,-0.05508957379
Holstebro,0.08602016201,0.07663098304,0.03668372334,0.08042799127,-0.08575024308,-0.0566392631,-0.05317716019,-0.08419619329
Ikast-Brande,0.1697167662,0.03927282943,0.001186762014,-0.01035494669,0.02920076965,-0.08108840069,-0.08866246621,-0.05927131367
Lemvig,0.2171776674,0.07156789365,0.03387360525,-0.02058765503,-0.102500478,-0.09817437041,-0.05254913905,-0.04880752381
Ringkøbing-Skjern,0.1337391565,0.0870640762,-0.008032162764,0.03613552723,-0.06030582343,-0.0615445705,-0.08158967695,-0.04546652626
Skive,0.1523407112,0.06623907335,0.04651886306,-0.03519329243,-0.08087789481,-0.01359991742,-0.05981765371,-0.07560988927
Struer,0.1231077186,0.1038301176,-0.0023376562,0.01468107652,-0.09225908409,-0.005528235311,-0.06677086123,-0.07472307584
Viborg,0.1695883907,0.06730250133,0.01958105524,0.008635302581,-0.07206209382,-0.07780500423,-0.04272032349,-0.07251982834
Brønderslev,0.1203943781,0.08934472468,0.03847332748,0.04677535578,-0.03677750236,-0.06247714406,-0.08426892255,-0.1114642171
Frederikshavn,0.0938679008,0.05029834719,0.08855839056,0.05577802962,-0.06193685329,-0.08806302572,-0.03792691611,-0.100575873
Hjørring,0.09728729594,0.09783303383,0.05614470445,0.05710998155,-0.08409728179,-0.08426934001,-0.06611972137,-0.07388867259
Jammerbugt,0.1689342127,0.09445015574,0.07813988817,0.02073967314,-0.1199360168,-0.06511965758,-0.08523129746,-0.09197695797
Læsø,0.7310778081,-0.0115046927,-0.08197093551,-0.07962458371,-0.1945201332,-0.1917196488,-0.2071601574,0.03542234332
Mariagerfjord,0.1937636645,0.07219732475,0.04474832029,-0.0001319494133,-0.07674900809,-0.08001304996,-0.0770844489,-0.0767308532
Morsø,0.1809412602,0.09404375596,0.07856926574,0.02361134146,-0.1183483969,-0.07858546754,-0.1079793618,-0.07225239719
Rebild,0.1645310215,0.08374384236,-0.1113125645,0.1674876847,-0.2631714084,0.09852216749,-0.2186184772,0.07881773399
Thisted,0.125731815,0.07597010378,0.06288907692,0.007298631797,-0.08022546247,-0.04131014925,-0.04639710462,-0.1039569112
Vesthimmerlands,0.1806781391,0.05014882274,0.07307638596,0.002389806505,-0.0894021055,-0.0956571665,-0.07097058215,-0.05026330011
Aalborg,0.09297548159,0.04138776388,0.01180497378,0.0350388476,-0.03232639774,-0.02385339875,-0.04638753169,-0.07863973867
